"Borough.Code","Block.Number","Lot.Number","Tax.Year","Owner.Name","Property.Address","Granted.Reduction.Amount","Tax.Class.Code","FULLVAL","tax_saved","percent_red","boroughs"
1,873,26,2018,"JODASK REALTY CORP.","131 EAST 17 STREET",94950,"2",3211000,11975.094,0.0295702273435067,"Manhattan"
1,479,29,2018,"153 ELIZABETH HOTEL L","30 KENMARE STREET",324300,"4",14054000,34096.902,0.0230752810587733,"Manhattan"
2,5331,7,2018,"3200 TREMONT ASSOCIAT","3227 EAST TREMONT AVE",50800,"4",2704000,5341.112,0.0187869822485207,"Bronx"
1,692,1003,2018,"120 ELEVENTH AVENUE C","120 11 AVENUE",58173,"2",1243010,7336.77876,0.0468001061938359,"Manhattan"
3,1392,78,2018,"ROCHPARK REALTY LLC","1225 EASTERN PARKWAY",0,"2",1836000,0,0,"Brooklyn"
3,1141,18,2018,"585 MESEROLE STREET C","868 DEAN STREET",17050,"4",319000,1792.637,0.053448275862069,"Brooklyn"
4,10789,248,2018,"96-01-09 SPRINGFIELD","96-09 SPRINGFIELD BLV",156700,"4",3526000,16475.438,0.0444412932501418,"Queens"
3,6858,47,2018,"HO SEUNG SHIN AND JUN","2371 86 STREET",20550,"4",579000,2160.627,0.0354922279792746,"Brooklyn"
1,784,1,2018,"VORNADO NEW YORK RR O","480 8 AVENUE",701050,"4",14069000,73708.397,0.0498294121828133,"Manhattan"
1,1924,9,2018,"ONE EIGHTEEN HOUSING","271 WEST 118 STREET",154900,"2",1122000,19535.988,0.138057040998217,"Manhattan"
3,2725,13,2018,"28 HERBERT STREET LLC","28 HERBERT STREET",26700,"4",1166000,2807.238,0.0228987993138937,"Brooklyn"
1,1517,37,2018,"STEELY PROPERTIES CO.","1576 3 AVENUE",209500,"2",4910000,26422.14,0.0426680244399185,"Manhattan"
3,7918,36,2018,"IJ LITWAK REALTY LIMI","8205 FOSTER AVENUE",82950,"4",1051000,8721.363,0.0789248334919125,"Brooklyn"
3,3293,43,2018,"BROADWAY LLC","1295 BROADWAY",90950,"4",3731000,9562.483,0.0243768426695256,"Brooklyn"
1,1292,69,2018,"TIFFANY AND COMPANY U","731 5 AVENUE",1864150,"4",132587000,195996.731,0.0140598248697082,"Manhattan"
1,793,37,2018,"595 REALTY, LLC","603 AVENUE OF THE AME",145050,"4",2789000,15250.557,0.0520078881319469,"Manhattan"
3,2102,8,2018,"CUMBERLAND APARTMENTS","249 CUMBERLAND STREET",208650,"2",8797000,26314.938,0.0237183130612709,"Brooklyn"
3,5917,53,2018,"MJG REALTY LLC AND RI","263 74 STREET",69000,"2",2620000,8702.28,0.0263358778625954,"Brooklyn"
2,2373,6,2018,"1240 WASHINGTON AVENU","1240 WASHINGTON AVENU",123700,"2",5386000,15601.044,0.0229669513553658,"Bronx"
1,508,1102,2018,"262 MOTT PROPERTY LLC","262 MOTT STREET",30418,"4",1334263,3198.14852,0.0227976043703528,"Manhattan"
1,1586,1,2018,"1700 YORK ASSOCIATES","1700 YORK AVENUE",858150,"2",21207000,108229.878,0.0404654123638421,"Manhattan"
4,6275,22,2018,"SCI FUNERAL SERVICES","208-17 NORTHERN BOULE",46800,"4",1884000,4920.552,0.0248407643312102,"Queens"
1,80,4,2018,"CDL (NEW YORK) LIMITE","55 CHURCH STREET",1760000,"4",122800000,185046.4,0.0143322475570033,"Manhattan"
4,1703,98,2018,"ASTORIA BLVD FAMILY,","110 STREET",12500,"4",164000,1314.25,0.0762195121951219,"Queens"
1,16,205,2018,"BROOKDALE LIVING COMM","455 NORTH END AVENUE",3055450,"2",117901000,385353.354,0.025915386637942,"Manhattan"
3,3264,31,2018,"HIMROD ASSOCIATES, LL","336 EVERGREEN AVENUE",126540,"2",1667000,15959.2248,0.0759088182363527,"Brooklyn"
4,11965,188,2018,"111TH AVENUE LLC","111-02 111 AVENUE",30600,"4",923000,3217.284,0.0331527627302275,"Queens"
1,825,29,2018,"200 FIFTH OWNER LLC","23 WEST 23 STREET",0,"4",4431000,0,0,"Manhattan"
1,1510,20,2018,"EAST 81ST REALTY LLC","1195 LEXINGTON AVENUE",1319050,"2",30709000,166358.586,0.0429532059005503,"Manhattan"
4,2792,3,2018,"6932 GRAND REALTY LLC","69-32 GRAND AVENUE",81850,"4",893000,8605.709,0.0916573348264278,"Queens"
3,7181,1,2018,"LANA COOPERATIVE APAR","2310 OCEAN PARKWAY",375100,"2",5408000,47307.612,0.0693602071005917,"Brooklyn"
5,462,81,2018,"FRAZZETTO, VINCENT","2109 VICTORY BOULEVAR",22350,"4",383000,2349.879,0.058355091383812,"Staten Island"
1,616,1002,2018,"2 HORATIO OWNERS CORP","2 HORATIO STREET",1185150,"2",51967000,149471.118,0.0228058190774915,"Manhattan"
1,503,10,2018,"SULLIVAN PROPERTIES,","115 SULLIVAN STREET",166250,"2",2425000,20967.45,0.0685567010309278,"Manhattan"
3,1168,42,2018,"PARK HEIGHTS REALTY L","620 PARK PLACE",198500,"2",1234000,25034.82,0.160858995137763,"Brooklyn"
5,185,27,2018,"CADDELL DRY DOCK & RE","1553 RICHMOND TERRACE",0,"4",21000,0,0,"Staten Island"
4,3725,42,2018,"LPL PROPERTIES INC.","11-29 IRVING AVENUE",181500,"4",870000,19082.91,0.208620689655172,"Queens"
3,1107,27,2018,"A & S PROPERTY CO., L","70 PROSPECT PARK SW",86950,"2",5171000,10966.134,0.0168149294140398,"Brooklyn"
1,2174,42,2018,"DYCKMAN ST. REALTY LL","150 DYCKMAN STREET",387550,"4",8639000,40747.007,0.0448605162634564,"Manhattan"
1,1567,5,2018,"RSL 405 EAST 87TH LLC","405 EAST 87 STREET",56150,"2",2787000,7081.638,0.0201471115895228,"Manhattan"
4,3065,130,2018,"JPMORGAN CHASE BANK N","74-03 METROPOLITAN AV",217550,"4",1339000,22873.207,0.162471994025392,"Queens"
4,6713,1001,2018,"VILLAGE MALL AT HILLC","150-38 UNION TURNPIKE",4339,"2",79725,547.23468,0.0544245845092505,"Queens"
5,3614,9,2018,"2241 HYLAN BLVD. CORP","2239 HYLAN BOULEVARD",71500,"4",970000,7517.51,0.0737113402061856,"Staten Island"
3,4665,67,2018,"421 REMSEN LLC","421 REMSEN AVENUE",69650,"2",897000,8784.258,0.0776477146042363,"Brooklyn"
4,9353,49,2018,"MORDECHAY SASY","89-19 126 STREET",23450,"4",441000,2465.533,0.0531746031746032,"Queens"
